Image name,0 mm,0.063 mm,0.125 mm,0.180 mm,0.250 mm,0.300 mm,0.355 mm,0.425 mm,0.500 mm,0.710 mm,1 mm,2 mm,4 mm,8 mm
Line_3_33.jpg; T=300,1.1639320770692076,3.4692885689664834,3.1240276241576743,4.2374442478670975,3.530403569038913,3.5628558501272147,5.20900426190484,4.077942057325839,11.581231125599455,13.111214344545006,26.716863986610555,14.161811930692506,6.053980356095197,0.0
Line_3_21.jpg; T=300,1.1387042657072028,3.377618905217398,2.9072462210994603,3.7394205500898177,3.0203923437083464,2.9935583251720663,4.372092372262485,3.507182139213436,10.491077900292984,12.60289890905436,27.784045914466443,17.112560505464593,6.953201648251415,0.0
Line_3_48.jpg; T=300,1.3745762834094262,3.5793014754060017,3.871120014868956,4.902691986144935,3.886024790724391,3.808224609391664,4.531932917269813,4.2764812166990875,11.622107881763457,13.332394433169824,25.161135513864842,13.957415236064474,5.696593641223132,0.0
Line_3_54.jpg; T=300,1.5563459760217373,4.3385911266275095,4.618330738849757,5.3668024471208735,4.094741442397097,3.989925347491262,4.774538190034717,4.46232706527787,11.76508349081968,13.258442965822168,24.373571449883556,11.858435652896002,5.542864106757773,0.0
Line_3_12.jpg; T=300,1.3142246710983505,4.2391169340064065,3.6258788775490056,4.5906156263036655,3.654513711650032,3.5553017838918994,5.064285822025084,3.9876578489541097,11.375622299922252,12.636325800999803,25.63144604748786,14.306301674839466,6.018708901272067,0.0
Line_3_56.jpg; T=300,0.7648222702098255,3.9029291123782097,4.391034084861582,4.504485425118598,3.3183202998129167,4.309352023415143,4.145384621867708,4.9030803001523875,11.385635974232015,13.019379230973355,26.24756432868755,13.68848707830432,5.419525249986389,0.0
Line_3_39.jpg; T=300,1.2872868140744689,4.181791082448548,3.4733747368133687,4.131593409634215,3.1928794473700184,3.1194204003162302,3.786882437260862,4.413611396404481,11.04568132950092,13.073652581715436,27.02622575863975,15.169615598732298,6.097985007089409,0.0
Line_3_3.jpg; T=300,1.1959352403569736,3.7630100785499736,3.15820505315327,3.944868461644084,3.147006037894938,3.1307799464665584,3.844146209482743,4.464255066306891,11.070697570881148,12.943597891486744,27.37589138288289,16.021406867751473,5.940200193142319,0.0
Line_3_2.jpg; T=300,1.4831758764250282,3.83485035180069,3.223072628136725,5.538820061088361,3.337388457173132,3.2653566484312524,5.221738768818555,4.936287494308386,11.343127168641605,13.350003902733214,26.09239278258214,13.07629789363347,5.2974879662274335,0.0
Line_3_26.jpg; T=300,1.2326705966240197,3.8733801878820753,3.3576780163490567,5.2283518615390845,2.6342359387711696,3.463315998584513,5.014307004591983,4.737384686897458,10.602107931672984,13.474384407797725,26.22985930358216,14.437271803348148,5.715052262359621,0.0
Line_3_55.jpg; T=300,1.3055645983710047,4.247450426224011,3.699988980057033,4.761746384019347,3.7866253477824783,3.6691184876308727,4.369201885764678,4.894636553996533,11.329173508381414,12.550538113888516,25.18621775420259,13.867948801332586,6.331789158348935,0.0
Line_3_52.jpg; T=300,1.5241295515383633,5.2302549056419645,4.213989452288747,4.813922091501668,2.761253946277724,3.5722023094520923,4.3061112078342525,4.9677884989996794,11.231656501625766,12.954789054514576,25.002267070272516,13.731344097408332,5.690291312644327,0.0
Line_3_23.jpg; T=300,1.3390829457637183,3.3630051934292298,3.6215150939803418,3.721162729974369,3.7086342579029687,2.7720366368488727,4.589427310582495,4.454048032092873,11.518615800205364,13.203183712048778,27.247244487152336,14.769287831679607,5.692755968339027,0.0
Line_3_17.jpg; T=300,1.7482046318362705,3.5579911484824893,3.1488787427795666,4.8140125980252115,3.1426877263878628,3.044390122012409,4.4012129150291415,4.159677367792205,10.459703890565542,12.255054038513913,26.105103115846024,15.830498537941176,7.332585164788184,0.0
Line_3_34.jpg; T=300,1.4076862786127269,3.571619004982239,2.982408675706767,5.151091580557208,3.096993752731955,4.065267261286636,3.956093403620588,4.747322842005366,11.995703939500025,13.212357831995721,26.57065538306632,13.470483233193464,5.772316812740997,0.0
Line_3_8.jpg; T=300,1.2608031554470056,4.0583941650546445,4.4783951585166815,4.671120449716692,3.6871108978816354,4.464150210626238,4.29893235566405,4.889562974605697,12.249600590656266,12.67884318499595,25.709188238250714,12.348694005415735,5.2052046131687035,0.0
Line_3_62.jpg; T=300,0.7495421285898127,3.6485669475880464,4.087915115849712,4.287213356537089,3.2582278854463165,3.2083409568783017,5.16985650131387,3.973563716925553,11.764234049769422,13.310365002611608,26.502678201633138,14.064127646673873,5.975368490183254,0.0
Line_3_38.jpg; T=300,0.5906545724830381,2.6028256264931584,2.788601303735646,2.9767908998373023,3.1179254949116304,2.4173226509016708,3.265548260052765,4.048661536283685,10.781715351288106,12.472181347829574,29.200986295684032,18.714227569506047,7.022559090993347,0.0
Line_3_31.jpg; T=300,1.657959044207306,2.6933730839890284,3.7856565255430894,4.070932180648874,3.3558223974572874,4.137276164794962,3.981318645207832,4.530200145511146,11.465993999984574,12.672111364863895,26.83518018425009,14.685802114915194,6.1283741486267065,0.0
Line_3_10.jpg; T=300,1.2600995667456367,4.0065554797718725,3.5870785974158736,4.6757812196214585,3.670973837661044,3.553829814544684,4.264205324744925,4.8125403468018435,11.279081475170223,12.59485894577439,25.619769167142053,14.389861805316775,6.285364419289207,0.0
Line_3_50.jpg; T=300,1.294657026342386,3.168461824964561,3.4074742335111665,4.404140296603242,2.677145744858814,3.5199246995052924,3.4469523144923566,5.042539055322767,10.913834731843064,13.15083943850819,27.211419182550024,15.755710794052485,6.0069006574456525,0.0
Line_3_36.jpg; T=300,1.2252635570083017,3.781158308396377,3.339074061571257,4.382514831926958,3.573195892647961,3.530328808411883,4.293937769532244,4.909311598942135,11.656161654684505,12.804831187524615,26.53410240596641,14.50853031002384,5.4615896133635085,0.0
Line_3_16.jpg; T=300,1.253713050942155,4.027636754780247,3.511957230819488,5.402350890132203,3.554036245112853,3.444699678707478,4.092300503066356,4.604094073343134,11.068797182960393,12.51031700228317,25.9733352526265,14.640292402405755,5.916469732820255,0.0
Line_3_1.jpg; T=300,1.3389997469401909,4.144655145176666,3.565797582897925,4.567297429007483,2.6940617271588736,3.506141598654418,4.225291366005712,4.839449101935761,11.068383106482306,12.890049847294858,26.396585758368488,14.811859825753825,5.951427764323487,0.0
Line_3_53.jpg; T=300,1.562232044170577,4.213415454609817,4.130562860863452,4.7107062842060685,2.7609998671332643,3.650772403913264,4.455512874480576,4.264897980234927,11.511209557401175,12.677829101751266,25.42518562538005,14.446561947184597,6.190113998670977,0.0
