Point ID,Date,Time,Easting,Northing,Elevation,Accuracy (?),Accuracy (?),Distance
TR0400128    ,26/10/2022,14:43:07,116121.954,558916.93200000003,-1.3919999999999999,0.01,0.01,148.67944089708783
TR0400129    ,26/10/2022,14:43:08,116122.61500000001,558916.402,-1.397,0.01,0.01,149.52668407353679
TR0400130    ,26/10/2022,14:43:08,116123.21400000001,558916.01699999999,-1.399,0.01,0.01,150.23874165548472
TR0400131    ,26/10/2022,14:43:10,116123.75599999999,558915.62,-1.4059999999999999,0.01,0.01,150.91058464308182
TR0400132    ,26/10/2022,14:43:11,116124.405,558915.11300000001,-1.417,0.01,0.01,151.73414399127074
TR0400133    ,26/10/2022,14:43:11,116125.15399999999,558914.86199999996,-1.4099999999999999,0.01,0.01,152.52408196353065
TR0400134    ,26/10/2022,14:43:13,116125.72500000001,558914.53899999999,-1.4079999999999999,0.01,0.01,153.18010787764999
TR0400135    ,26/10/2022,14:43:14,116126.38099999999,558914.16000000003,-1.409,0.01,0.01,153.93772057550552
TR0400136    ,26/10/2022,14:43:15,116127.08900000001,558913.76300000004,-1.4550000000000001,0.01,0.01,154.74943049907216
TR0400137    ,26/10/2022,14:43:16,116127.74400000001,558913.49800000002,-1.4530000000000001,0.01,0.01,155.45600675115389
TR0400138    ,26/10/2022,14:43:17,116128.34600000001,558913.022,-1.4670000000000001,0.01,0.01,156.22345707529337
TR0400139    ,26/10/2022,14:43:18,116129.03999999999,558912.64399999997,-1.49,0.01,0.01,157.01372285337305
TR0400140    ,26/10/2022,14:43:19,116129.76700000001,558912.36499999999,-1.508,0.01,0.01,157.79242048404154
TR0400141    ,26/10/2022,14:43:20,116130.425,558912.04500000004,-1.5009999999999999,0.01,0.01,158.52410620890004
TR0400142    ,26/10/2022,14:43:21,116131.011,558911.804,-1.5249999999999999,0.01,0.01,159.15772833604944
