Point ID,Date,Time,Easting ,Northing,Elevation,Accuracy (?),Accuracy (?)
TR0600116    ,26/10/2022,13:40:28,115438.337,558219.45299999998,-1.1220000000000001,0.01,0.01
TR0600117    ,26/10/2022,13:40:30,115439.23699999999,558219.35499999998,-1.135,0.01,0.01
TR0600118    ,26/10/2022,13:40:31,115440.155,558219.31900000002,-1.133,0.01,0.01
TR0600119    ,26/10/2022,13:40:32,115440.944,558219.31599999999,-1.1659999999999999,0.01,0.01
TR0600120    ,26/10/2022,13:40:33,115441.874,558219.13500000001,-1.139,0.01,0.01
TR0600121    ,26/10/2022,13:40:34,115442.732,558219.09199999995,-1.161,0.01,0.01
TR0600122    ,26/10/2022,13:40:35,115443.52899999999,558219.13399999996,-1.157,0.01,0.01
TR0600123    ,26/10/2022,13:40:36,115444.41499999999,558218.99399999995,-1.173,0.01,0.01
TR0600124    ,26/10/2022,13:40:37,115445.28200000001,558218.96299999999,-1.165,0.01,0.01
TR0600125    ,26/10/2022,13:40:38,115446.125,558219.02800000005,-1.1819999999999999,0.01,0.01
TR0600126    ,26/10/2022,13:40:39,115446.86500000001,558218.94499999995,-1.196,0.01,0.01
TR0600127    ,26/10/2022,13:40:40,115447.732,558218.73800000001,-1.2070000000000001,0.01,0.01
TR0600128    ,26/10/2022,13:40:41,115448.7,558218.77000000002,-1.1890000000000001,0.01,0.01
TR0600129    ,26/10/2022,13:40:42,115449.46000000001,558218.81200000003,-1.2110000000000001,0.01,0.01
TR0600130    ,26/10/2022,13:40:43,115450.258,558218.81000000006,-1.2090000000000001,0.01,0.01
TR0600131    ,26/10/2022,13:40:44,115451.00900000001,558218.93200000003,-1.2170000000000001,0.01,0.01
TR0600132    ,26/10/2022,13:40:44,115451.87300000001,558218.97199999995,-1.2090000000000001,0.01,0.01
TR0600133    ,26/10/2022,13:40:46,115452.765,558219.04299999995,-1.218,0.01,0.01
TR0600134    ,26/10/2022,13:40:47,115453.493,558219.098,-1.23,0.01,0.01
TR0600135    ,26/10/2022,13:40:47,115454.262,558219.21200000006,-1.2290000000000001,0.01,0.01
TR0600136    ,26/10/2022,13:40:49,115455.045,558219.24199999997,-1.232,0.01,0.01
TR0600137    ,26/10/2022,13:40:50,115455.84600000001,558219.43599999999,-1.25,0.01,0.01
TR0600138    ,26/10/2022,13:40:50,115456.625,558219.34100000001,-1.252,0.01,0.01
TR0600139    ,26/10/2022,13:40:52,115457.481,558219.24100000004,-1.2410000000000001,0.01,0.01
TR0600140    ,26/10/2022,13:40:53,115458.056,558219.36800000002,-1.246,0.01,0.01
TR0600141    ,26/10/2022,13:40:54,115458.8,558219.33900000004,-1.2629999999999999,0.01,0.01
TR0600142    ,26/10/2022,13:40:55,115459.617,558219.30599999998,-1.2509999999999999,0.01,0.01
TR0600143    ,26/10/2022,13:40:56,115460.35799999999,558219.34699999995,-1.2609999999999999,0.01,0.01
TR0600144    ,26/10/2022,13:40:57,115461.088,558219.31000000006,-1.2769999999999999,0.01,0.01
TR0600145    ,26/10/2022,13:40:58,115461.923,558219.15700000001,-1.2769999999999999,0.01,0.01
TR0600146    ,26/10/2022,13:40:59,115462.62,558219.27899999998,-1.268,0.01,0.01
TR0600147    ,26/10/2022,13:40:60,115463.37300000001,558219.17000000004,-1.2809999999999999,0.01,0.01
TR0600148    ,26/10/2022,13:41:01,115464.162,558219.06499999994,-1.282,0.01,0.01
TR0600149    ,26/10/2022,13:41:02,115464.917,558219.05200000003,-1.3080000000000001,0.01,0.01
TR0600150    ,26/10/2022,13:41:03,115465.625,558219.03500000003,-1.2969999999999999,0.01,0.01
TR0600151    ,26/10/2022,13:41:04,115466.42200000001,558218.86899999995,-1.2989999999999999,0.01,0.01
