Point ID,GNSS Position Solution.Start Time,Easting,Northing,Elevation,GNSS Position Solution.Antenna Height,Distance
T17 09,21-04-2023 15:54:14,116644.883,559376.35999999999,-0.205,2.000,18.684995326644437
T17 10,21-04-2023 15:54:30,116647.075,559374.22600000002,-0.396,2.000,21.744214181158956
T17 11,21-04-2023 15:54:48,116649.511,559371.96499999997,-0.581,2.000,25.067799143253993
T17 12,21-04-2023 15:55:05,116651.822,559369.603,-0.742,2.000,28.372305914292571
T18 01,21-04-2023 16:00:26,116706.976,559470.55700000003,0.918,2.000,0
T18 02,21-04-2023 16:00:51,116708.421,559469.08499999996,0.833,2.000,2.0627188369279992
T18 03,21-04-2023 16:01:12,116709.996,559467.61800000002,0.598,2.000,4.2150928750153263
T18 04,21-04-2023 16:01:26,116711.56600000001,559466.16399999999,0.360,2.000,6.3549564220903427
T18 05,21-04-2023 16:01:48,116712.735,559465.00699999998,0.167,2.000,7.9997086830713151
T18 06,21-04-2023 16:02:03,116714.13499999999,559463.679,0.126,2.000,9.9293677202924719
T18 07,21-04-2023 16:02:23,116715.465,559462.58999999997,0.289,2.000,11.648326998484876
T18 08,21-04-2023 16:02:39,116717.254,559461.21299999999,0.241,2.000,13.905903132296629
T18 09,21-04-2023 16:03:03,116718.821,559459.81499999994,0.171,2.000,16.00587765597799
T18 10,21-04-2023 16:03:16,116720.84,559458.20799999998,0.090,2.000,18.586344667949316
T18 11,21-04-2023 16:03:37,116723.125,559456.21200000006,-0.166,2.000,21.620358675781556
T18 12,21-04-2023 16:03:58,116725.296,559454.20400000003,-0.381,2.000,24.577604861024259
T18 13,21-04-2023 16:04:11,116727.492,559451.93400000001,-0.548,2.000,27.735977226668975
T19 01,21-04-2023 16:09:07,116833.234,559576.571,1.108,2.000,0
T19 02,21-04-2023 16:09:22,116834.781,559574.91299999994,0.961,2.000,2.2676359937603499
T19 03,21-04-2023 16:09:38,116836.27499999999,559573.14800000004,0.904,2.000,4.580050532638051
T19 04,21-04-2023 16:09:53,116837.836,559571.11199999996,0.850,2.000,7.1455947244871929
T19 05,21-04-2023 16:10:14,116839.86199999999,559568.69799999997,0.744,2.000,10.297113723310224
T19 06,21-04-2023 16:10:32,116841.90300000001,559566.13699999999,0.799,2.000,13.571927000427282
T19 07,21-04-2023 16:10:52,116843.726,559564.10699999996,0.567,2.000,16.300338443020721
T19 08,21-04-2023 16:11:09,116844.99400000001,559562.32499999995,0.384,2.000,18.487425089692724
T19 09,21-04-2023 16:11:30,116846.664,559560.12600000005,0.050,2.000,21.248674987760712
T19 10,21-04-2023 16:11:51,116848.389,559558.14399999997,-0.277,2.000,23.876211666909569
T20 01,21-04-2023 16:14:16,116940.318,559650.33700000006,1.084,2.000,0
T20 02,21-04-2023 16:14:31,116941.88,559648.30500000005,0.855,2.000,2.5629802964602018
T20 03,21-04-2023 16:14:53,116943.60799999999,559645.81799999997,0.847,2.000,5.591371453553748
T20 04,21-04-2023 16:15:09,116945.486,559643.61399999994,0.811,2.000,8.4869715640942793
T20 05,21-04-2023 16:15:28,116947.36599999999,559641.09400000004,0.650,2.000,11.630981742110556
T20 06,21-04-2023 16:15:46,116949.24000000001,559638.326,0.527,2.000,14.973690224802674
T20 07,21-04-2023 16:16:03,116949.834,559637.44099999999,0.674,2.000,16.039551848097791
T20 08,21-04-2023 16:16:22,116951.21000000001,559635.22100000002,0.753,2.000,18.651404830156032
T20 09,21-04-2023 16:16:40,116952.57000000001,559633.17500000005,0.552,2.000,21.108174253584096
T20 10,21-04-2023 16:16:56,116954.102,559631.05599999998,0.289,2.000,23.72297539329773
T20 11,21-04-2023 16:17:14,116955.685,559628.69900000002,-0.081,2.000,26.562224942000199
T20 12,21-04-2023 16:17:32,116957.36,559626.41599999997,-0.415,2.000,29.393781757650626
T20 13,21-04-2023 16:17:52,116959.208,559623.60699999996,-0.694,2.000,32.756159636479865
T20 14,21-04-2023 16:18:13,116960.37300000001,559621.70600000001,-0.915,2.000,34.985739417480197
T21 01,21-04-2023 16:20:57,117065.7,559738.30900000001,1.202,2.000,0
T21 02,21-04-2023 16:21:11,117067.28599999999,559736.49199999997,0.952,2.000,2.4118219254597721
T21 03,21-04-2023 16:21:35,117069.024,559734.39599999995,0.901,2.000,5.1346623541525869
T21 04,21-04-2023 16:21:56,117070.908,559731.96200000006,0.945,2.000,8.2126181692090476
T21 05,21-04-2023 16:22:16,117072.893,559729.34100000001,0.776,2.000,11.500454235716452
T21 06,21-04-2023 16:22:34,117074.50999999999,559727.10600000003,0.516,2.000,14.259061492999063
T21 07,21-04-2023 16:22:52,117076.387,559724.66200000001,0.418,2.000,17.340662537929333
T21 08,21-04-2023 16:23:13,117078.092,559722.64899999998,0.445,2.000,19.978690968433529
T21 09,21-04-2023 16:23:29,117079.02,559721.56799999997,0.718,2.000,21.403382163047951
T21 10,21-04-2023 16:23:46,117080.842,559719.353,0.772,2.000,24.271466715472446
T21 11,21-04-2023 16:24:04,117082.549,559717.38199999998,0.470,2.000,26.878896484432602
T21 12,21-04-2023 16:24:28,117084.54399999999,559715.11499999999,0.126,2.000,29.898716677746705
T21 13,21-04-2023 16:24:53,117086.06600000001,559713.174,-0.203,2.000,32.365286157814772
T21 14,21-04-2023 16:25:17,117087.913,559710.495,-0.538,2.000,35.619276016434327
T21 15,21-04-2023 16:25:39,117089.664,559708.12300000002,-0.828,2.000,38.567561111178343
T22 01,21-04-2023 16:28:54,117178.461,559837.57799999998,1.136,2.000,0
T22 02,21-04-2023 16:29:10,117180.63,559835.54299999995,0.959,2.000,2.9741866115244942
