x,y
116340.9651,559161.9965
116390.7308,559198.7839
116440.4324,559235.5967
116490.5764,559272.8944
116540.0739,559309.9419
116590.3655,559347.9027
116640.1359,559385.8304
116685.5388,559431.9825
116734.9957,559470.5961
116785.3249,559512.0149
116835.4281,559552.1492
116889.1413,559590.0959
116942.0429,559626.1065
116992.0139,559667.9448
117041.2811,559709.9727
117091.7108,559753.3415
117140.7711,559796.442
117189.3025,559839.5899
117238.9831,559884.1998
117288.9566,559929.638
117338.3397,559975.0056
117387.7503,560020.8176
115188.3262,558038.6192
115238.3443,558112.1982
115337.9419,558247.9424
115388.7022,558312.0656
115438.6203,558372.1494
115488.7926,558429.7435
115539.4534,558485.2674
115589.5008,558537.7769
115631.3353,558595.3751
115681.9114,558644.2761
115732.0118,558690.9012
115782.5665,558736.3125
115840.5664,558772.2662
115890.878,558814.7089
115940.7094,558855.6546
115991.1793,558896.1175
116040.8693,558935.1664
116091.5602,558974.2573
116141.1777,559012.0203
116191.6913,559049.974
116241.281,559086.9683
116290.8468,559123.7139
116341.5298,559161.1712
116391.3101,559197.9688
116441.0304,559234.7951
116491.1653,559272.0862
116540.6943,559309.1576
116590.9676,559347.1044
116640.7524,559385.043
116686.1023,559431.1563
116735.5931,559469.7941
116785.8876,559511.1882
116835.9842,559551.3181
116889.6427,559589.2307
116942.5402,559625.2389
116992.513,559667.0783
117041.8261,559709.1342
117092.2289,559752.4862
117141.3479,559795.6251
117189.9711,559838.8463
117239.6717,559883.4746
117289.6468,559928.9144
117339.0685,559974.3209
117388.5159,560020.1743
115189.1044,558037.9913
115239.1213,558111.5688
115288.9298,558181.1875
115338.7458,558247.3476
115389.4554,558311.4078
115439.379,558371.4979
115489.5398,558429.0788
115540.1565,558484.5564
115590.2007,558537.0627
115632.0637,558594.69
115682.6014,558643.5523
115732.6952,558690.1711
115783.2129,558735.5495
115841.1953,558771.4887
115891.4861,558813.9151
115941.3287,558854.8695
115991.7674,558895.3087
116041.478,558934.373
116092.1229,558973.4306
116141.7658,559011.2116
116192.2452,559049.1414
116241.8623,559086.1546
116291.457,559122.9216
116342.0945,559160.3458
116391.8894,559197.1537
116441.6284,559233.9936
116491.7543,559271.2781
116541.3147,559308.3733
116591.5698,559346.306
116641.3689,559384.2557
116686.6657,559430.3301
116736.1904,559468.9921
116786.4501,559510.3615
116836.5404,559550.487
116890.1441,559588.3654
116943.0375,559624.3713
116993.0121,559666.2118
117042.371,559708.2957
117092.747,559751.6308
117141.9247,559794.8082
117190.6397,559838.1027
117240.3603,559882.7494
117290.337,559928.1908
117339.7972,559973.6361
117389.2815,560019.531
115189.8827,558037.3633
115239.8984,558110.9393
115289.7205,558180.5753
115339.5496,558246.7528
115390.2085,558310.75
115440.1376,558370.8464
115490.2869,558428.4142
115540.8596,558483.8453
115632.7922,558594.0049
115683.2914,558642.8286
115733.3785,558689.441
115783.8592,558734.7864
115841.8242,558770.7113
115892.0943,558813.1213
115941.9481,558854.0844
115992.3554,558894.4999
116042.0867,558933.5796
116092.6855,558972.6039
116142.354,559010.4028
116192.7991,559048.3088
116242.4436,559085.3409
116292.0673,559122.1294
116342.6592,559159.5205
116392.4687,559196.3386
116442.2264,559233.1921
116492.3433,559270.4699
116541.9351,559307.589
