Image name,RMSE (Multifrac),MAE (Multifrac),RMSE (Multifrac sub4),MAE (Multifrac sub4),RMSE (All Trend),MAE (All Trend)
Loc_3_1.jpg,1.6385726223680059,1.3005927480654891,1.6868496416792795,1.3202003152035402,1.8836621345469171,1.4608276832585847
Loc_3_2.jpg,2.3903052990585669,1.4526852311924692,2.5314104721842421,1.536968505495055,2.3117764150419586,1.4508565938928175
Loc_3_4.jpg,2.9153183240890339,1.7884771535075328,3.0016311716911037,1.843357651656379,2.7583466780557462,1.7245996559238848
Loc_3_5.jpg,3.0374690024995501,1.8468442299370402,3.1780802124096379,1.9425756191611014,2.8463704694876903,1.716305013299062
Loc_4_1.jpg,1.2162876730495324,0.81370340416053177,1.3477491331800378,0.90197376731807355,1.038267525673384,0.64036624458798586
Loc_4_2.jpg,1.3415284595877615,0.89046409222718492,1.4872564551289056,0.98239999618335183,1.140450101864801,0.7061828465582185
Loc_4_3.jpg,1.1940839008076642,0.79834963987596264,1.3180278984715963,0.88235064760652526,1.0073714038837907,0.6107646550908491
Loc_4_4.jpg,1.1772369364003217,0.78514238592709407,1.2974738037336357,0.86731072484281702,0.98594480364366743,0.59588826930394201
Loc_4_5.jpg,1.2016970351211751,0.80398798326073462,1.328137012928841,0.8894593988098547,1.0039060882007032,0.61190063411363194
Loc_4_6.jpg,0.82023958072405334,0.51406029580288926,0.92748831317493075,0.60841481769895156,0.75001324543407444,0.38890039475254479
Loc_4_7.jpg,0.78993901880509443,0.48640865294256896,0.89298758691345259,0.58116864398568102,0.72969500919981312,0.3716313579365319
Loc_4_8.jpg,0.83919102311343541,0.53150253839846262,0.9491116732783067,0.62654781250008784,0.75750393813009564,0.39290912146582918
Loc_6_1.jpg,0.36002443819866653,0.23805752324736984,0.26844536625413223,0.18294802186448061,0.6073731482300323,0.42942485499181282
Loc_6_2.jpg,0.3616924805296684,0.21678465125844051,0.47058936762685488,0.21376796512167334,0.42116526033280716,0.31058099911449771
Loc_6_3.jpg,0.62261976341276548,0.51845208777855201,0.56354975689441344,0.46998629777603895,0.65463191753720051,0.55129970034862286
Loc_6_4.jpg,0.41853920661719896,0.20892365262438578,0.48552733240699297,0.21434914921141371,0.39659395179638884,0.28456907587040997
Loc_6_5.jpg,0.6335831431348512,0.41907957151870462,0.44195123448953577,0.28869845149583861,0.66755756348916229,0.44526985381081097
Loc_6_6.jpg,0.60425409474198299,0.39628209766634526,0.41949307225153387,0.2741232468893085,0.66607172229183176,0.44456948103614169
Loc_6_7.jpg,0.31568051245075301,0.23057081787067207,0.32758656685452209,0.21400176184440162,0.47359598561966354,0.3379365574096278
Loc_6_8.jpg,0.43903133596890359,0.31012114576351579,0.5012463155966409,0.3071678572046489,0.50184991119907918,0.41614798190172408
Loc_7_1.jpg,0.54202850815148673,0.35104357989319407,0.692966883443218,0.43900665576677211,0.34310225133437416,0.22946926634795695
Loc_7_2.jpg,0.32777573202303889,0.21144274984062808,0.43785403999457168,0.29048873368381539,0.18819926701165651,0.12562249035849657
